nse,bse,isin
20MICRONS,533022,INE144J01027
3IINFOTECH,532628,INE748C01020
3MINDIA,523395,INE470A01017
63MOONS,526881,INE111B01023
8KMILES,512161,INE650K01021
A2ZINFRA,533292,INE619I01012
AARTIDRUGS,524348,INE767A01016
AARTIIND,524208,INE769A01020
AARVEEDEN,514274,INE273D01019
ABAN,523204,INE421A01028
ABB,500002,INE117A01022
ABBOTINDIA,500488,INE358A01014
ABFRL,535755,INE647O01011
ABGSHIP,532682,INE067H01016
ABIRLANUVO,500303,INE069A01017
ACC,500410,INE012A01025
ACCELYA,532268,INE793A01012
ACE,532762,INE731H01025
ADANIENT,512599,INE423A01024
ADANIPORTS,532921,INE742F01042
ADANIPOWER,533096,INE814H01011
ADANITRANS,539254,INE931S01010
ADFFOODS,519183,INE982B01019
ADHUNIK,532727,INE400H01019
ADHUNIKIND,538365,INE452L01012
ADLABS,539056,INE172N01012
ADORWELD,517041,INE045A01017
ADSL,532875,INE102I01027
ADVANIHOTR,523269,INE199C01026
ADVENZYMES,540025,INE837H01020
AEGISCHEM,500003,INE208C01025
AFL,532774,INE020G01017
AGARIND,531921,INE204E01012
AGCNET,500463,INE676A01019
AGRITECH,537292,INE449G01018
AHLEAST,533227,INE926K01017
AHLUCONT,532811,INE758C01029
AHLWEST,533221,INE915K01010
AIAENG,532683,INE212H01026
AICHAMP,532806,INE768E01024
AIFL,535467,INE428O01016
AJANTPHARM,532331,INE031B01049
AJMERA,513349,INE298G01027
AKSHARCHEM,524598,INE542B01011
AKSHOPTFBR,532351,INE523B01011
AKZOINDIA,500710,INE133A01011
ALANKIT,531082,INE914E01040
ALBERTDAVD,524075,INE155C01010
ALBK,532480,INE428A01015
ALCHEM,526707,INE964B01033
ALEMBICLTD,506235,INE426A01027
ALICON,531147,INE062D01024
ALKALI,533029,INE773I01017
ALKEM,539523,INE540L01014
ALKYLAMINE,506767,INE150B01021
ALLCARGO,532749,INE418H01029
ALLSEC,532633,INE835G01018
ALMONDZ,531400,INE326B01027
ALOKTEXT,521070,INE270A01011
ALPA,532878,INE385I01010
ALPHAGEO,526397,INE137C01018
ALPSINDUS,530715,INE093B01015
AMARAJABAT,500008,INE885A01032
AMBIKCO,531978,INE540G01014
AMBUJACEM,500425,INE079A01024
AMDIND,532828,INE005I01014
AMRUTANJAN,590006,INE098F01023
AMTEKAUTO,520077,INE130C01021
ANANTRAJ,515055,INE242C01024
ANDHRABANK,532418,INE434A01013
ANDHRACEMT,532141,INE666E01012
ANDHRSUGAR,590062,INE715B01013
ANGIND,530721,INE017D01010
ANIKINDS,519383,INE087B01017
ANKITMETAL,532870,INE106I01010
ANSALAPI,500013,INE436A01026
ANSALHSG,507828,INE880B01015
ANTGRAPHIC,526715,INE414B01021
APARINDS,523377,INE372A01015
APCL,518091,INE071F01012
APCOTEXIND,523694,INE116A01024
APLAPOLLO,533758,INE702C01019
APLLTD,533573,INE901L01018
APOLLOHOSP,508869,INE437A01024
APOLLOTYRE,500877,INE438A01022
APTECHT,532475,INE266F01018
ARCHIDPLY,532994,INE877I01016
ARCHIES,532212,INE731A01020
ARCOTECH,532914,INE574I01027
ARIES,532935,INE298I01015
ARIHANT,531381,INE413D01011
ARIHANTSUP,506194,INE643K01018
ARMANFIN,531179,INE109C01017
AROGRANITE,513729,INE210C01013
ARROWGREEN,516064,INE570D01018
ARROWTEX,533068,INE933J01015
ARSHIYA,506074,INE968D01022
ARSSINFRA,533163,INE267I01010
ARVIND,500101,INE034A01011
ARVSMART,539301,INE034S01021
ASAHIINDIA,515030,INE439A01020
ASAHISONG,532853,INE228I01012
ASAL,520119,INE900C01027
ASHAPURMIN,527001,INE348A01023
ASHIANA,523716,INE365D01021
ASHIMASYN,514286,INE440A01010
ASHOKA,533271,INE442H01029
ASHOKLEY,500477,INE208A01029
ASIANHOTNR,500023,INE363A01022
ASIANPAINT,500820,INE021A01026
ASIANTILES,532888,INE022I01019
ASIL,521076,INE988A01026
ASSAMCO,500024,INE442A01024
ASTEC,533138,INE563J01010
ASTRAL,532830,INE006I01046
ASTRAMICRO,532493,INE386C01029
ASTRAZEN,506820,INE203A01020
ATFL,500215,INE209A01019
ATLANTA,532759,INE285H01022
ATLASCYCLE,505029,INE446A01017
ATUL,500027,INE100A01010
ATULAUTO,531795,INE951D01028
AURIONPRO,532668,INE132H01018
AUROPHARMA,524804,INE406A01037
AUSOMENT,509009,INE218C01016
AUSTRAL,533016,INE455J01027
AUTOAXLES,505010,INE449A01011
AUTOIND,532797,INE718H01014
AUTOLITIND,500029,INE448A01013
AVANTIFEED,512573,INE871C01020
AVTNPL,519105,INE488D01021
AXISBANK,532215,INE238A01034
AXISCADES,532395,INE555B01013
AYMSYNTEX,508933,INE193B01039
BAFNAPHARM,532989,INE878I01014
BAGFILMS,532507,INE116D01028
BAJAJ-AUTO,532977,INE917I01010
BAJAJCORP,533229,INE933K01021
BAJAJELEC,500031,INE193E01025
BAJAJFINSV,532978,INE918I01018
BAJAJHIND,500032,INE306A01021
BAJAJHLDNG,500490,INE118A01012
BAJFINANCE,500034,INE296A01024
BALAJITELE,532382,INE794B01026
BALAMINES,530999,INE050E01027
BALKRISHNA,539251,INE875R01011
BALKRISIND,502355,INE787D01026
BALLARPUR,500102,INE294A01037
BALMLAWRIE,523319,INE164A01016
BALPHARMA,524824,INE083D01012
BALRAMCHIN,500038,INE119A01028
BANARBEADS,526849,INE655B01011
BANARISUG,500041,INE459A01010
BANCOINDIA,500039,INE213C01025
BANG,532946,INE863I01016
BANKBARODA,532134,INE028A01039
BANKINDIA,532149,INE084A01016
BANSWRAS,503722,INE629D01012
BARTRONICS,532694,INE855F01034
BASF,500042,INE373A01013
BASML,532674,INE186H01014
BATAINDIA,500043,INE176A01028
BAYERCROP,506285,INE462A01022
BBL,503960,INE464A01028
BBTC,501425,INE050A01025
BEARDSELL,539447,INE520H01022
BEDMUTHA,533270,INE844K01012
BEL,500049,INE263A01024
BEML,500048,INE258A01016
BEPL,500052,INE922A01025
BERGEPAINT,509480,INE463A01038
BFINVEST,533303,INE878K01010
BFUTILITIE,532430,INE243D01012
BGLOBAL,533499,INE224M01013
BGRENERGY,532930,INE661I01014
BHAGERIA,530803,INE354C01027
BHAGYANGR,512296,INE458B01036
BHANDARI,512608,INE474E01029
BHARATFIN,533228,INE180K01011
BHARATFORG,500493,INE465A01025
BHARATGEAR,505688,INE561C01019
BHARATIDIL,532609,INE673G01013
BHARATRAS,500050,INE838B01013
BHARATWIRE,539799,INE316L01019
BHARTIARTL,532454,INE397D01024
BHEL,500103,INE257A01026
BHUSANSTL,500055,INE824B01021
BIGBLOC,540061,INE412U01017
BIL,526666,INE828A01016
BILENERGY,533321,INE607L01029
BILPOWER,531590,INE952D01018
